[dotenv@17.2.0] injecting env (0) from .env (tip: ⚙️  load multiple .env files with { path: ['.env.local', '.env'] })
Backend running on http://localhost:3001
info: [object Object] {"timestamp":"2025-07-25T07:58:07.121Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:07.130Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:07.943Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:07.952Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:10.069Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:10.073Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:10.450Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:10.462Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:13.560Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:13.572Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:15.701Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:15.713Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:16.592Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:16.601Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:17.777Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:17.788Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:18.467Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:18.479Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:19.492Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:19.500Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:20.426Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:20.436Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:22.551Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:22.561Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:25.502Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:25.513Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:27.476Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:28.293Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:30.136Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:30.551Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:37.123Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:37.380Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:45.840Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:45.843Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:47.848Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:47.851Z"}
info: [object Object] {"timestamp":"2025-07-25T07:58:49.082Z"}
